date,event_time,year,month,equipment_category,equipment_id,fuel_liter,status_text,source_sheet,source_file,source_row,source_event_key,data_status,issue_code
2026-08-24,08:26:25,2026,8,HEAD_TRUCK,135,66.26,online,N/A,ujb_dashboard_scrape,53,58b2ecd2c03fc3200436bffcc2b034e3e50f2035,VALID,
2026-08-24,08:23:58,2026,8,ELF,02,30.0,online,N/A,ujb_dashboard_scrape,54,de821a8a591a9de561fd0224a71cc948ff456cdd,VALID,
2026-08-24,08:22:23,2026,8,ELF,01,30.0,online,N/A,ujb_dashboard_scrape,55,860c02e6045ec23a027e408e22c25e9738e13720,VALID,
2026-08-24,08:20:06,2026,8,HEAD_TRUCK,216,47.43,online,N/A,ujb_dashboard_scrape,56,0ac73f742112b7b4e4aa3249e64fe1f7cd35bd42,VALID,
2026-08-24,08:16:45,2026,8,HEAD_TRUCK,132,78.63,online,N/A,ujb_dashboard_scrape,57,a711e77013b805173d8875f401f79b3aade0f3b6,VALID,
2026-08-24,08:14:22,2026,8,HEAD_TRUCK,147,77.86,online,N/A,ujb_dashboard_scrape,58,bfd1ddfaf60567c2bf8a399c1a131c9084d8ddf9,VALID,
2026-08-24,08:14:12,2026,8,HEAD_TRUCK,214,82.69,online,N/A,ujb_dashboard_scrape,59,da067850362496f5e74fb51e50b249e87db2f150,VALID,
2026-08-24,08:10:41,2026,8,HEAD_TRUCK,175,52.29,online,N/A,ujb_dashboard_scrape,60,2e316521b3c00c543a14c3542d1ada4f96f87a6a,VALID,
2026-08-24,08:08:14,2026,8,HEAD_TRUCK,197,62.57,online,N/A,ujb_dashboard_scrape,61,2aa88a75455a998e2fc8689f7eb1914c9b9bb24e,VALID,
2026-08-24,08:07:46,2026,8,HEAD_TRUCK,168,65.46,online,N/A,ujb_dashboard_scrape,62,b91ca3e9959a74442aa77b46dfd15ad1b4227931,VALID,
2026-08-24,08:05:03,2026,8,HEAD_TRUCK,184,50.02,online,N/A,ujb_dashboard_scrape,63,78896b698d89ed63a30b1b6a221a89437152d8bc,VALID,
2026-08-24,08:03:53,2026,8,HEAD_TRUCK,165,70.25,online,N/A,ujb_dashboard_scrape,64,f928594ba84577cab75e55d667f8f1d6a00ed5fa,VALID,
2026-08-23,14:11:39,2026,8,HEAD_TRUCK,208,90.6,online,N/A,ujb_dashboard_scrape,65,ce05026b86be9f20f2cbd1dd61121bf54bbaa39e,VALID,
2026-08-23,14:00:24,2026,8,HEAD_TRUCK,159,85.53,online,N/A,ujb_dashboard_scrape,66,7059c5c10334b3a26938e457d4c2342daf6efd0d,VALID,
2026-08-23,13:53:10,2026,8,HEAD_TRUCK,195,72.49,online,N/A,ujb_dashboard_scrape,67,1fb0b4f0cb0c67417a06269a16cf8fe0ff54f338,VALID,
2026-08-23,13:42:17,2026,8,FORKLIFT,26,18.58,online,N/A,ujb_dashboard_scrape,68,6e2a91bd441ca5ac6ace399b2160b4972877d069,VALID,
2026-08-23,13:33:18,2026,8,HEAD_TRUCK,179,99.65,online,N/A,ujb_dashboard_scrape,69,bc54b8a3c28ee54e678ef9d88dee27aa16754398,VALID,
2026-08-23,13:29:58,2026,8,KEND_OPS,RANGGA 04,39.85,online,N/A,ujb_dashboard_scrape,70,7fa35dd783816dee3deb86558485c14d594b630c,VALID,
2026-08-23,13:26:37,2026,8,HEAD_TRUCK,153,102.73,online,N/A,ujb_dashboard_scrape,71,69fc880d187908b3bb2defd1160a2406d4068947,VALID,
2026-08-23,13:18:18,2026,8,HEAD_TRUCK,149,92.9,online,N/A,ujb_dashboard_scrape,72,ae26cb5cac4a0d794f60bda76bfe05c31bd987a5,VALID,
2026-08-23,13:06:58,2026,8,HEAD_TRUCK,166,37.37,online,N/A,ujb_dashboard_scrape,73,f5610bc03d686308e515b80a3e4ea0de517b3eba,VALID,
2026-08-23,13:04:27,2026,8,HEAD_TRUCK,142,66.93,online,N/A,ujb_dashboard_scrape,74,4867db9072f8ea0d69417c393b79c4462c367171,VALID,
2026-08-23,11:12:21,2026,8,HEAD_TRUCK,188,64.04,online,N/A,ujb_dashboard_scrape,75,ea9b3c56a02eee306c460f133f80b3719d3c9673,VALID,
2026-08-23,11:03:46,2026,8,HEAD_TRUCK,189,85.14,online,N/A,ujb_dashboard_scrape,76,7988a7650bee5ad9934fb5d40531410b90808add,VALID,
2026-08-23,10:58:26,2026,8,ELF,03,30.0,online,N/A,ujb_dashboard_scrape,77,e0bc457cd02a72be5f3ec174287b267e43765e25,VALID,
2026-08-23,10:56:41,2026,8,HEAD_TRUCK,95,60.92,online,N/A,ujb_dashboard_scrape,78,f0281bd4934ff2f88c508549d2a1bcab2ddfd585,VALID,
2026-08-23,10:49:46,2026,8,KEND_OPS,RANGGA 02,36.31,online,N/A,ujb_dashboard_scrape,79,3e72434ec0b3723870861cbdb6821062391ad6a2,VALID,
2026-08-23,10:47:13,2026,8,HEAD_TRUCK,185,79.46,online,N/A,ujb_dashboard_scrape,80,a57d7466af364903d3d1aaf27c907a694720b4eb,VALID,
2026-08-23,10:44:22,2026,8,HEAD_TRUCK,206,94.6,online,N/A,ujb_dashboard_scrape,81,feefc3a52b4e21d41afdfe1a22349282f2931c6d,VALID,
2026-08-23,10:41:12,2026,8,HEAD_TRUCK,215,88.29,online,N/A,ujb_dashboard_scrape,82,e7bb56355f7e1ce2267abe934e0bfcaaecf25b7a,VALID,
2026-08-23,10:38:06,2026,8,HEAD_TRUCK,205,105.23,online,N/A,ujb_dashboard_scrape,83,5594c2e2ced6dae6a30d7b1fb20ea73ad471457f,VALID,
2026-08-23,10:35:28,2026,8,HEAD_TRUCK,135,89.8,online,N/A,ujb_dashboard_scrape,84,3ccd2ce7e7a353d53a1b38cf156aa72c9ed03156,VALID,
2026-08-23,10:33:12,2026,8,BUS,03,56.95,online,N/A,ujb_dashboard_scrape,85,5236c9b36e965c7a1ca534435e1fb00a76536d42,VALID,
2026-08-23,10:29:57,2026,8,HEAD_TRUCK,198,68.35,online,N/A,ujb_dashboard_scrape,86,ddc7f23ffac77cc8298cacdd74cdf9fbce377ab6,VALID,
2026-08-23,10:21:00,2026,8,HEAD_TRUCK,171,116.51,online,N/A,ujb_dashboard_scrape,87,3d205f3cb79dca803b12c3e4788fe13cb87f2ec8,VALID,
2026-08-23,10:18:35,2026,8,HEAD_TRUCK,143,73.31,online,N/A,ujb_dashboard_scrape,88,5c115c9dc94eb92018ee3ae89e6146a724361d64,VALID,
2026-08-23,10:16:23,2026,8,HEAD_TRUCK,212,70.66,online,N/A,ujb_dashboard_scrape,89,4fa8864d08733d5d8184bff3d9ea8057a29f5a46,VALID,
2026-08-23,10:14:28,2026,8,HEAD_TRUCK,133,70.17,online,N/A,ujb_dashboard_scrape,90,303c0bca0b90be672b7cba1ce3e67bfc2f440395,VALID,
2026-08-23,10:13:39,2026,8,HEAD_TRUCK,186,78.74,online,N/A,ujb_dashboard_scrape,91,64d99d006dd406d417a7ed69055639199e328d4a,VALID,
