date,year,month,equipment_category,equipment_id,fuel_liter,status_text,source_sheet,source_file,source_row,data_status,issue_code
2026-08-23,2026,8,HEAD_TRUCK,215,88.29,online,N/A,ujb_dashboard_scrape,79,VALID,
2026-08-23,2026,8,HEAD_TRUCK,205,105.23,online,N/A,ujb_dashboard_scrape,80,VALID,
2026-08-23,2026,8,HEAD_TRUCK,135,89.8,online,N/A,ujb_dashboard_scrape,81,VALID,
2026-08-23,2026,8,BUS,03,56.95,online,N/A,ujb_dashboard_scrape,82,VALID,
2026-08-23,2026,8,HEAD_TRUCK,198,68.35,online,N/A,ujb_dashboard_scrape,83,VALID,
2026-08-23,2026,8,HEAD_TRUCK,171,116.51,online,N/A,ujb_dashboard_scrape,84,VALID,
2026-08-23,2026,8,HEAD_TRUCK,143,73.31,online,N/A,ujb_dashboard_scrape,85,VALID,
2026-08-23,2026,8,HEAD_TRUCK,212,70.66,online,N/A,ujb_dashboard_scrape,86,VALID,
2026-08-23,2026,8,HEAD_TRUCK,133,70.17,online,N/A,ujb_dashboard_scrape,87,VALID,
2026-08-23,2026,8,HEAD_TRUCK,186,78.74,online,N/A,ujb_dashboard_scrape,88,VALID,
2026-08-23,2026,8,HEAD_TRUCK,145,67.76,online,N/A,ujb_dashboard_scrape,89,VALID,
2026-08-23,2026,8,HEAD_TRUCK,150,76.67,online,N/A,ujb_dashboard_scrape,90,VALID,
2026-08-23,2026,8,ELF,02,30.0,online,N/A,ujb_dashboard_scrape,91,VALID,
2026-08-23,2026,8,HEAD_TRUCK,211,92.95,online,N/A,ujb_dashboard_scrape,92,VALID,
2026-08-23,2026,8,HEAD_TRUCK,165,60.6,online,N/A,ujb_dashboard_scrape,93,VALID,
2026-08-23,2026,8,HEAD_TRUCK,155,62.92,online,N/A,ujb_dashboard_scrape,94,VALID,
2026-08-23,2026,8,HEAD_TRUCK,163,69.58,online,N/A,ujb_dashboard_scrape,95,VALID,
2026-08-23,2026,8,HEAD_TRUCK,197,76.1,online,N/A,ujb_dashboard_scrape,96,VALID,
2026-08-23,2026,8,HEAD_TRUCK,209,89.29,online,N/A,ujb_dashboard_scrape,97,VALID,
2026-08-23,2026,8,HEAD_TRUCK,183,77.24,online,N/A,ujb_dashboard_scrape,98,VALID,
2026-08-23,2026,8,HEAD_TRUCK,214,78.81,online,N/A,ujb_dashboard_scrape,99,VALID,
2026-08-23,2026,8,HEAD_TRUCK,190,54.23,online,N/A,ujb_dashboard_scrape,100,VALID,
2026-08-23,2026,8,HEAD_TRUCK,137,71.15,online,N/A,ujb_dashboard_scrape,101,VALID,
2026-08-23,2026,8,HEAD_TRUCK,154,77.01,online,N/A,ujb_dashboard_scrape,102,VALID,
2026-08-23,2026,8,HEAD_TRUCK,192,74.19,online,N/A,ujb_dashboard_scrape,103,VALID,
2026-08-23,2026,8,HEAD_TRUCK,157,54.76,online,N/A,ujb_dashboard_scrape,104,VALID,
2026-08-23,2026,8,ELF,01,30.0,online,N/A,ujb_dashboard_scrape,105,VALID,
2026-08-23,2026,8,HEAD_TRUCK,196,69.33,online,N/A,ujb_dashboard_scrape,106,VALID,
2026-08-23,2026,8,HEAD_TRUCK,141,94.34,online,N/A,ujb_dashboard_scrape,107,VALID,
2026-08-23,2026,8,HEAD_TRUCK,204,65.26,online,N/A,ujb_dashboard_scrape,108,VALID,
2026-08-23,2026,8,HEAD_TRUCK,175,71.47,online,N/A,ujb_dashboard_scrape,109,VALID,
2026-08-23,2026,8,HEAD_TRUCK,168,75.41,online,N/A,ujb_dashboard_scrape,110,VALID,
2026-08-23,2026,8,HEAD_TRUCK,216,70.76,online,N/A,ujb_dashboard_scrape,111,VALID,
2026-08-23,2026,8,HEAD_TRUCK,139,73.57,online,N/A,ujb_dashboard_scrape,112,VALID,
2026-08-23,2026,8,HEAD_TRUCK,207,76.07,online,N/A,ujb_dashboard_scrape,113,VALID,
2026-08-23,2026,8,HEAD_TRUCK,132,74.83,online,N/A,ujb_dashboard_scrape,114,VALID,
2026-08-23,2026,8,HEAD_TRUCK,144,71.9,online,N/A,ujb_dashboard_scrape,115,VALID,
2026-08-23,2026,8,HEAD_TRUCK,140,79.3,online,N/A,ujb_dashboard_scrape,116,VALID,
2026-08-23,2026,8,HEAD_TRUCK,158,92.35,online,N/A,ujb_dashboard_scrape,117,VALID,
2026-08-23,2026,8,HEAD_TRUCK,164,67.31,online,N/A,ujb_dashboard_scrape,118,VALID,
2026-08-23,2026,8,HEAD_TRUCK,170,84.1,online,N/A,ujb_dashboard_scrape,119,VALID,
2026-08-23,2026,8,HEAD_TRUCK,156,76.27,online,N/A,ujb_dashboard_scrape,120,VALID,
2026-08-23,2026,8,HEAD_TRUCK,131,78.09,online,N/A,ujb_dashboard_scrape,121,VALID,
2026-08-23,2026,8,HEAD_TRUCK,201,59.27,online,N/A,ujb_dashboard_scrape,122,VALID,
2026-08-23,2026,8,HEAD_TRUCK,147,87.96,online,N/A,ujb_dashboard_scrape,123,VALID,
2026-08-23,2026,8,HEAD_TRUCK,191,78.72,online,N/A,ujb_dashboard_scrape,124,VALID,
2026-08-23,2026,8,HEAD_TRUCK,161,75.69,online,N/A,ujb_dashboard_scrape,125,VALID,
2026-08-23,2026,8,HEAD_TRUCK,199,69.93,online,N/A,ujb_dashboard_scrape,126,VALID,
2026-08-23,2026,8,HEAD_TRUCK,136,75.44,online,N/A,ujb_dashboard_scrape,127,VALID,
2026-08-23,2026,8,HEAD_TRUCK,174,76.17,online,N/A,ujb_dashboard_scrape,128,VALID,
2026-08-23,2026,8,HEAD_TRUCK,162,71.15,online,N/A,ujb_dashboard_scrape,129,VALID,
2026-08-23,2026,8,HEAD_TRUCK,213,80.51,online,N/A,ujb_dashboard_scrape,130,VALID,
2026-08-23,2026,8,HEAD_TRUCK,138,64.5,online,N/A,ujb_dashboard_scrape,131,VALID,
2026-08-23,2026,8,HEAD_TRUCK,181,80.51,online,N/A,ujb_dashboard_scrape,132,VALID,
2026-08-23,2026,8,HEAD_TRUCK,184,29.86,online,N/A,ujb_dashboard_scrape,133,VALID,
2026-08-23,2026,8,HEAD_TRUCK,152,92.31,online,N/A,ujb_dashboard_scrape,134,VALID,
2026-08-23,2026,8,HEAD_TRUCK,210,91.76,online,N/A,ujb_dashboard_scrape,135,VALID,
2026-08-23,2026,8,KEND_OPS,RANGGA 13,40.0,online,N/A,ujb_dashboard_scrape,136,VALID,
2026-08-23,2026,8,HEAD_TRUCK,182,67.22,online,N/A,ujb_dashboard_scrape,137,VALID,
2026-08-23,2026,8,HEAD_TRUCK,202,68.68,online,N/A,ujb_dashboard_scrape,138,VALID,
2026-08-23,2026,8,HEAD_TRUCK,177,64.74,online,N/A,ujb_dashboard_scrape,139,VALID,
2026-08-23,2026,8,HEAD_TRUCK,148,76.06,online,N/A,ujb_dashboard_scrape,140,VALID,
2026-08-23,2026,8,BUS,02,42.98,online,N/A,ujb_dashboard_scrape,141,VALID,
2026-08-23,2026,8,BUS,01,50.96,online,N/A,ujb_dashboard_scrape,142,VALID,
2026-08-23,2026,8,HEAD_TRUCK,178,83.78,online,N/A,ujb_dashboard_scrape,143,VALID,
2026-08-23,2026,8,HEAD_TRUCK,193,86.47,online,N/A,ujb_dashboard_scrape,144,VALID,
2026-08-23,2026,8,HEAD_TRUCK,169,185.09,online,N/A,ujb_dashboard_scrape,145,VALID,
2026-08-23,2026,8,HEAD_TRUCK,128,83.19,online,N/A,ujb_dashboard_scrape,146,VALID,
2026-08-22,2026,8,KEND_OPS,RANGGA 03,37.57,online,N/A,ujb_dashboard_scrape,147,VALID,
2026-08-22,2026,8,HEAD_TRUCK,188,82.35,online,N/A,ujb_dashboard_scrape,148,VALID,
2026-08-22,2026,8,HEAD_TRUCK,157,20.86,online,N/A,ujb_dashboard_scrape,149,VALID,
2026-08-22,2026,8,FORKLIFT,26,30.9,online,N/A,ujb_dashboard_scrape,150,VALID,
2026-08-22,2026,8,HEAD_TRUCK,142,37.18,online,N/A,ujb_dashboard_scrape,151,VALID,
2026-08-22,2026,8,HEAD_TRUCK,198,25.77,online,N/A,ujb_dashboard_scrape,152,VALID,
2026-08-22,2026,8,HEAD_TRUCK,212,57.23,online,N/A,ujb_dashboard_scrape,153,VALID,
2026-08-22,2026,8,HEAD_TRUCK,162,59.09,online,N/A,ujb_dashboard_scrape,154,VALID,
2026-08-22,2026,8,HEAD_TRUCK,138,55.43,online,N/A,ujb_dashboard_scrape,155,VALID,
2026-08-22,2026,8,HEAD_TRUCK,195,25.37,online,N/A,ujb_dashboard_scrape,156,VALID,
2026-08-22,2026,8,HEAD_TRUCK,201,35.94,online,N/A,ujb_dashboard_scrape,157,VALID,
2026-08-22,2026,8,HEAD_TRUCK,132,45.02,online,N/A,ujb_dashboard_scrape,158,VALID,
