date,equipment_id,equipment_category,fuel_liter,expected_fuel,deviation_liter,deviation_percentage,robust_z_score,isolation_score,anomaly_type,severity,anomaly_reason
2025-03-02,B 7697 TK,BUS,49.98,49.25,0.7299999999999969,1.4822335025380649,0.10148227846485772,0.18249934467556855,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-03-03,B 7697 TK,BUS,50.79,49.53,1.259999999999998,2.5439127801332484,0.1739626165081566,0.12177148074943434,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-03-04,B 7697 TK,BUS,46.09,49.53,-3.4399999999999977,-6.945285685443162,-0.47392002523187643,0.11505662877858625,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-03-05,B 7697 TK,BUS,50.23,49.25,0.9799999999999969,1.9898477157360341,0.13638104419327102,0.21707491390897882,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-03-06,B 7697 TK,BUS,50.0,49.25,0.75,1.5228426395939088,0.10437017179112913,0.2162707147432536,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-03-07,B 7697 TK,BUS,50.62,49.98,0.6400000000000006,1.2805122048819542,0.08886610242856362,0.18600769143638357,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-03-08,B 7697 TK,BUS,44.69,50.0,-5.310000000000002,-10.620000000000005,-0.7298839562953322,0.08894634794071354,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-03-09,B 7697 TK,BUS,49.85,50.0,-0.14999999999999858,-0.29999999999999716,-0.020683827035802543,0.1651956931311367,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-03-10,B 7697 TK,BUS,51.98,50.0,1.9799999999999969,3.959999999999994,0.273130217013401,0.05103139598366857,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-03-11,B 7697 TK,BUS,50.16,50.0,0.1599999999999966,0.3199999999999932,0.021994657899598067,0.2113386740401499,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-03-12,B 7697 TK,BUS,50.14,50.16,-0.01999999999999602,-0.039872408293452996,-0.002717134205030721,0.220178040633574,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-03-13,B 7697 TK,BUS,42.73,50.14,-7.410000000000004,-14.778619864379744,-1.0069589955868865,0.0667643221926918,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-03-14,B 7697 TK,BUS,49.19,50.14,-0.9500000000000028,-1.8946948544076643,-0.13185633179892278,0.1656036900891431,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-03-15,B 7697 TK,BUS,49.31,49.85,-0.5399999999999991,-1.0832497492477415,-0.07526631799436691,0.16683611018671934,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-03-16,B 7697 TK,BUS,49.89,49.85,0.03999999999999915,0.08024072216649777,0.005500265903276412,0.16932622542323433,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-03-17,B 7697 TK,BUS,50.09,49.89,0.20000000000000284,0.4008819402685966,0.02749812610001537,0.1796784574090165,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-03-18,B 7697 TK,BUS,50.0,49.89,0.10999999999999943,0.22048506714772384,0.015207669106350626,0.20445599226549827,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-03-19,B 7697 TK,BUS,50.28,49.89,0.39000000000000057,0.7817197835237534,0.053943372434020954,0.21432971499820896,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-03-20,B 7697 TK,BUS,50.05,49.89,0.1599999999999966,0.3207055522148659,0.02212154148641528,0.21966545561987139,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-03-21,B 7697 TK,BUS,50.24,50.0,0.240000000000002,0.4800000000000039,0.03248596027434496,0.21023815344040647,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
2025-03-22,B 7697 TK,BUS,49.29,50.05,-0.759999999999998,-1.5184815184815146,-0.10256346741677085,0.16596623067431332,NORMAL,NORMAL,Konsumsi berada dalam pola normal unit.
