year,month,month_name,equipment_category,workbook_reported_total,recalculated_total,difference_liter,difference_percentage,validation_status
2026,1,Januari 2026,RTGC,360649.0,360649.0,0.0,0.0,MATCH
2026,1,Januari 2026,SUPPORT,10173.85,10173.85,0.0,0.0,MATCH
2026,2,Februari 2026,BUS,3978.51,3978.51,0.0,0.0,MATCH
2026,2,Februari 2026,COMPRESSOR,0.0,0.0,0.0,,NO_WORKBOOK_VALUE
2026,2,Februari 2026,ELF,2851.83,2851.83,0.0,0.0,MATCH
2026,2,Februari 2026,HEAD_TRUCK,166798.38,166798.38,0.0,0.0,MATCH
2026,2,Februari 2026,KEND_OPS,4624.64,4624.64,0.0,0.0,MATCH
2026,2,Februari 2026,MODUL,0.0,0.0,0.0,,NO_WORKBOOK_VALUE
2026,2,Februari 2026,RTGC,366142.6,366142.6,0.0,0.0,MATCH
2026,2,Februari 2026,SUPPORT,3146.44,3146.45,0.009999999999763531,0.0,MATCH
2026,3,Maret 2026,BUS,4299.79,4299.79,0.0,0.0,MATCH
2026,3,Maret 2026,COMPRESSOR,0.0,0.0,0.0,,NO_WORKBOOK_VALUE
2026,3,Maret 2026,ELF,3082.44,66.13,-3016.31,-97.85,REQUIRES REVIEW
2026,3,Maret 2026,HEAD_TRUCK,169255.39,169255.39,0.0,0.0,MATCH
2026,3,Maret 2026,KEND_OPS,5118.12,5118.12,0.0,0.0,MATCH
2026,3,Maret 2026,MODUL,4686.0,4686.0,0.0,0.0,MATCH
2026,3,Maret 2026,RTGC,369501.0,369535.001201,34.001201000006404,0.01,MATCH
2026,3,Maret 2026,SUPPORT,1016.82,984.0,-32.82000000000005,-3.23,MAJOR DIFFERENCE
2026,4,April 2026,BUS,4189.16,4189.16,0.0,0.0,MATCH
2026,4,April 2026,HEAD_TRUCK,182496.07,182496.07,0.0,0.0,MATCH
2026,4,April 2026,KEND_OPS,5736.97,5736.97,0.0,0.0,MATCH
2026,4,April 2026,RTGC,351676.7,351676.7,0.0,0.0,MATCH
